Name  |  Old Price  |  New Price  |  Characteristics  |  Link
BLENDER KIELICHOWY DO KOKTAJLI 3W1 SALAN FAST 900W  |  259,00 zł  |  159,00 zł  |  Faktura: Wystawiam fakturę VAT  |  Dane podstawowe Stan: Nowy Marka: inna (SALAN) Model: SALAN FAST SN1500 Kod producenta: SALAN FAST SN1500  |  Parametry fizyczne Kolor dominujący: czarny Pojemność kielicha: 1 l Szerokość produktu: 19 cm Wysokość produktu: 33 cm Głębokość produktu: 13 cm Waga produktu: 1.6 kg Waga (z opakowaniem): 2.2 kg  |  Dane szczegółowe Moc: 900 W Prędkość obrotowa: 22000 obr./min Rodzaj regulacji obrotów: brak Tryby pracy: pulsacyjny Blender personalny: tak Funkcje: mieszanie, miksowanie, rozdrabnianie Bezpieczeństwo: nóżki antypoślizgowe, zabezpieczenia przed przegrzaniem, zabezpieczenie przed nieprawidłowym montażem Załączone wyposażenie: kielich, przykrywka, wymienne noże, butelka  |  https://allegro.pl/oferta/blender-kielichowy-do-koktajli-3w1-salan-fast-900w-9291788792
ROBOT KUCHENNY MIKSER PLANETARNY ROBOMAX X-2000-W  |  1 499,00 zł  |  469,00 zł  |  Stan: Nowy Faktura: Wystawiam fakturę VAT Marka: Koliber Model: Robomax X-2000-W Kolor dominujący: czerwony Moc: 2120 W Rodzaj regulacji obrotów: skokowa Liczba poziomów prędkości: 6 Tryby pracy: pulsacyjny Pojemność misy roboczej: 6.2 l Szerokość produktu: 21 cm Wysokość produktu: 30 cm Głębokość produktu: 40 cm Waga produktu: 5 kg Waga (z opakowaniem): 6.2 kg Kod producenta: KH-SM1460RD6-S Bezpieczeństwo: nóżki antypoślizgowe, blokada bezpieczeństwa, zabezpieczenie przed przegrzaniem, blokada ramienia mieszającego, automatyczne zatrzymanie podczas podniesienia głowicy Funkcje: mieszanie, ubijanie, wyrabianie ciasta Cechy dodatkowe: duża moc, duża pojemność, metalowy napęd Załączone wyposażenie: hak, mieszadło, misa, trzepaczka  |  https://allegro.pl/oferta/robot-kuchenny-mikser-planetarny-robomax-x-2000-w-9320300147
CIŚNIENIOWY ekspres do kawy 1470W 15bar Spieniacz  |  1 000,00 zł  |  599,99 zł  |  Faktura: Wystawiam fakturę VAT  |  Dane podstawowe Stan: Nowy Marka: Transa Electronics Model: TE-72 Kod producenta: TE-72  |  Parametry fizyczne Kolor dominujący: czarny Pojemność zbiornika na wodę: 1,2 Szerokość produktu: 20.5 cm Wysokość produktu: 32.4 cm Głębokość produktu: 30.8 cm Waga produktu: 4.1 kg Waga (z opakowaniem): 4.5 kg Materiał: metal, tworzywo sztuczne  |  Dane szczegółowe Moc: 1470 W Ciśnienie: 15 bar Rodzaj ekspresu: kolbowy Rodzaje kawy: mielona Rodzaje regulacji: ilość kawy Rodzaj naczynia na kawę: kubek/filiżanka Wbudowany młynek: nie Podwójny dozownik: tak Dodatkowe pojemniki: na mleko Sterowanie: mechaniczne Automatycznie przygotowywane napoje: Caffe Latte, Cappuccino, Espresso Funkcje: automatyczne czyszczenie, automatyczne odkamienianie, automatyczne wyłączanie, personalizacja ustawień, programator, spienianie mleka, zapamiętywanie ustawień Komunikacja: lampka kontrolna, wskaźnik poziomu wody, wskaźnik konieczności odkamieniania, wskaźnik włączenia urządzenia Cechy dodatkowe: Dodatkowa wysuwana podstawka na małą filiżankę, Dwa sitka w zestawie, Regulowana dysza do mleka na 3 poziomach, Schowek na kolbę i sitko, Wyjmowana tacka z podstawką Załączone wyposażenie: akcesoria montażowe, dysza, miarka, pojemnik na mleko, rurka do mleka  |  https://allegro.pl/oferta/cisnieniowy-ekspres-do-kawy-1470w-15bar-spieniacz-9437690020
ROBOT KUCHENNY MIKSER PLANETARNY ROBOMAX X-1200-W  |  799,00 zł  |  299,00 zł  |  Stan: Nowy Faktura: Wystawiam fakturę VAT Marka: Koliber Model: KH-SM1045BK8 Kolor dominujący: czarny Moc: 1200 W Rodzaj regulacji obrotów: skokowa Liczba poziomów prędkości: 8 Tryby pracy: pulsacyjny Pojemność misy roboczej: 4.5 l Szerokość produktu: 25 cm Wysokość produktu: 31.5 cm Głębokość produktu: 40.2 cm Waga (z opakowaniem): 4.5 kg Kod producenta: KH-SM1045BK8 Bezpieczeństwo: nóżki antypoślizgowe, blokada bezpieczeństwa, zabezpieczenie przed przegrzaniem, blokada ramienia mieszającego, automatyczne zatrzymanie podczas podniesienia głowicy Funkcje: mieszanie, ubijanie, wyrabianie ciasta Cechy dodatkowe: duża moc, duża pojemność, metalowy napęd Załączone wyposażenie: hak, mieszadło, misa, trzepaczka  |  https://allegro.pl/oferta/robot-kuchenny-mikser-planetarny-robomax-x-1200-w-9673768267
ROBOT KUCHENNY MIKSER PLANETARNY ROBOMAX X-1200-W  |  799,00 zł  |  279,00 zł  |  Stan: Nowy Faktura: Wystawiam fakturę VAT Marka: Koliber Model: KH-SM1045WH8 Kolor dominujący: biały Moc: 1200 W Rodzaj regulacji obrotów: skokowa Liczba poziomów prędkości: 8 Tryby pracy: pulsacyjny Pojemność misy roboczej: 4.5 l Szerokość produktu: 25 cm Wysokość produktu: 31.5 cm Głębokość produktu: 40.2 cm Waga produktu: 3.5 kg Waga (z opakowaniem): 4.5 kg Kod producenta: KH-SM1045WH8 Bezpieczeństwo: nóżki antypoślizgowe, blokada bezpieczeństwa, zabezpieczenie przed przegrzaniem, blokada ramienia mieszającego, automatyczne zatrzymanie podczas podniesienia głowicy Funkcje: mieszanie, ubijanie, wyrabianie ciasta Cechy dodatkowe: duża moc, duża pojemność, metalowy napęd Załączone wyposażenie: hak, mieszadło, misa, trzepaczka  |  https://allegro.pl/oferta/robot-kuchenny-mikser-planetarny-robomax-x-1200-w-9673782528
ROBOT KUCHENNY MIKSER PLANETARNY ROBOMAX X-1200-W  |  799,00 zł  |  299,00 zł  |  Stan: Nowy Faktura: Wystawiam fakturę VAT Marka: Koliber Model: KH-SM1045SV8 Kolor dominujący: srebrny/szary Moc: 1200 W Rodzaj regulacji obrotów: skokowa Liczba poziomów prędkości: 8 Tryby pracy: pulsacyjny Pojemność misy roboczej: 4.5 l Szerokość produktu: 25 cm Wysokość produktu: 31.5 cm Głębokość produktu: 40.2 cm Waga produktu: 3.5 kg Waga (z opakowaniem): 4.5 kg Kod producenta: KH-SM1045SV8 Bezpieczeństwo: nóżki antypoślizgowe, blokada bezpieczeństwa, zabezpieczenie przed przegrzaniem, blokada ramienia mieszającego, automatyczne zatrzymanie podczas podniesienia głowicy Funkcje: mieszanie, ubijanie, wyrabianie ciasta Cechy dodatkowe: duża moc, duża pojemność, metalowy napęd Załączone wyposażenie: hak, mieszadło, misa, trzepaczka  |  https://allegro.pl/oferta/robot-kuchenny-mikser-planetarny-robomax-x-1200-w-9673726320
ROBOT KUCHENNY MIKSER PLANETARNY ROBOMAX X-2000-W  |  1 499,00 zł  |  429,00 zł  |  Stan: Nowy Faktura: Wystawiam fakturę VAT Marka: Koliber Model: X-2000-W Kolor dominujący: biały Moc: 2120 W Rodzaj regulacji obrotów: skokowa Liczba poziomów prędkości: 6 Tryby pracy: pulsacyjny Pojemność misy roboczej: 6.2 l Szerokość produktu: 21 cm Wysokość produktu: 30 cm Głębokość produktu: 40 cm Waga produktu: 5 kg Waga (z opakowaniem): 6.2 kg Kod producenta: KH-SM1460WH6-S Bezpieczeństwo: nóżki antypoślizgowe, blokada bezpieczeństwa, zabezpieczenie przed przegrzaniem, blokada ramienia mieszającego, automatyczne zatrzymanie podczas podniesienia głowicy Funkcje: mieszanie, ubijanie, wyrabianie ciasta Cechy dodatkowe: duża moc, duża pojemność, metalowy napęd Załączone wyposażenie: hak, mieszadło, misa, trzepaczka  |  https://allegro.pl/oferta/robot-kuchenny-mikser-planetarny-robomax-x-2000-w-9320439319
BLENDER RĘCZNY WIELOFUNKCYJNY 1200W MIKSER MARKOWY  |  360,00 zł  |  159,99 zł  |  Faktura: Wystawiam fakturę VAT  |  Dane podstawowe Stan: Nowy Marka: Transa Electronics Model: BT-13 Kod producenta: BT-13  |  Parametry fizyczne Kolor dominujący: srebrny/szary Wielkość pojemnika: 0.5 l Szerokość produktu: 6.6 cm Wysokość produktu: 21.4 cm Głębokość produktu: 6.6 cm Waga produktu: 1.9 kg Waga (z opakowaniem): 2.1 kg  |  Dane szczegółowe Moc: 1200 W Prędkość obrotowa: 18000 obr./min Liczba poziomów prędkości: 5 Regulacja obrotów: tak Zasilanie: sieciowe Tryby pracy: turbo Funkcje: mielenie, mieszanie, miksowanie, rozdrabnianie, ubijanie Bezpieczeństwo: nóżki antypoślizgowe, zabezpieczenie przed przegrzaniem Załączone wyposażenie: pojemnik, rozdrabniacz, końcówka do ubijania, końcówka blendująca, wymienne noże, przykrywka  |  https://allegro.pl/oferta/blender-reczny-wielofunkcyjny-1200w-mikser-markowy-9579649418
MŁYNEK do mielenia kawy elektryczny MOCNY 200W  |  170,00 zł  |  99,99 zł  |  Stan: Nowy Faktura: Wystawiam fakturę VAT Marka: Transa Electronics Model: TE-13 Kolor dominujący: czarny Materiał: tworzywo sztuczne Zasilanie: sieciowe Mechanizm mielący: ostrza Przeznaczenie: mielenie kawy Sposób mielenia: pulsacyjny Moc: 200 W Pojemność: 70 g Funkcje: brak Załączone wyposażenie: Pędzelek do czyszczenia zbiornika i ostrzy Szerokość produktu: 9 cm Wysokość produktu: 19.5 cm Głębokość produktu: 9 cm Waga produktu: 0.6 kg Kod producenta: TE-13 Bezpieczeństwo: zabezpieczenie przed włączeniem bez pokrywy, blokada bezpieczeństwa Cechy dodatkowe: Pokrywa z przezroczystym okienkiem, Dwa ostrza ze stali nierdzewnej, Wnętrze pojemnika wykonane ze stali nierdzewnej  |  Parametry dodatkowe Pojemność maksymalna pojemnika: 60 g Średnica otworu wlotowego pojemnika: 7 cm Prędkość obrotów: około 22400 obrotów/minutę Długość przewodu zasilającego: 80 cm  |  https://allegro.pl/oferta/mlynek-do-mielenia-kawy-elektryczny-mocny-200w-9633426321
BLENDER RĘCZNY WIELOFUNKCYJNY 1200W 4w1 ZESTAW  |  400,00 zł  |  199,99 zł  |  Faktura: Wystawiam fakturę VAT  |  Dane podstawowe Stan: Nowy Marka: Transa Electronics Model: BT-14 Kod producenta: BT-14  |  Parametry fizyczne Kolor dominujący: srebrny/szary Wielkość pojemnika: 1.75 l Szerokość produktu: 6.6 cm Wysokość produktu: 21.4 cm Głębokość produktu: 6.6 cm Waga produktu: 2.2 kg Waga (z opakowaniem): 2.5 kg  |  Dane szczegółowe Moc: 1200 W Prędkość obrotowa: 18000 obr./min Liczba poziomów prędkości: 5 Regulacja obrotów: tak Zasilanie: sieciowe Tryby pracy: turbo Funkcje: mielenie, mieszanie, miksowanie, rozdrabnianie, szatkowanie, tarcie, ubijanie Bezpieczeństwo: nóżki antypoślizgowe, blokada bezpieczeństwa, zabezpieczenie przed przegrzaniem, zabezpieczenie przed zwolnieniem końcówki w trakcie pracy Załączone wyposażenie: pojemnik, rozdrabniacz, końcówka do ubijania, końcówka blendująca, wymienne noże, tarcza do krojenia, malakser, przykrywka  |  Parametry dodatkowe Tarcza dwustronna: do krojenia i szatkowania Tarcza jednostronna: do ścierania Ostrza dwuramienne: do rozdrabniania  |  https://allegro.pl/oferta/blender-reczny-wielofunkcyjny-1200w-4w1-zestaw-9579652645
